Date,"Deshaun Watson"
2015-07-01,37
2015-07-02,37
2015-07-03,31
2015-07-04,38
2015-07-05,30
2015-07-06,22
2015-07-07,66
2015-07-08,53
2015-07-09,44
2015-07-10,33
2015-07-11,20
2015-07-12,29
2015-07-13,48
2015-07-14,43
2015-07-15,45
2015-07-16,83
2015-07-17,65
2015-07-18,83
2015-07-19,44
2015-07-20,37
2015-07-21,136
2015-07-22,86
2015-07-23,91
2015-07-24,95
2015-07-25,112
2015-07-26,71
2015-07-27,148
2015-07-28,158
2015-07-29,126
2015-07-30,72
2015-07-31,65
2015-08-01,49
2015-08-02,53
2015-08-03,46
2015-08-04,80
2015-08-05,94
2015-08-06,134
2015-08-07,65
2015-08-08,39
2015-08-09,57
2015-08-10,67
2015-08-11,98
2015-08-12,68
2015-08-13,77
2015-08-14,64
2015-08-15,81
2015-08-16,46
2015-08-17,61
2015-08-18,90
2015-08-19,86
2015-08-20,65
2015-08-21,70
2015-08-22,82
2015-08-23,96
2015-08-24,91
2015-08-25,95
2015-08-26,118
2015-08-27,149
2015-08-28,176
2015-08-29,163
2015-08-30,146
2015-08-31,509
2015-09-01,295
2015-09-02,228
2015-09-03,217
2015-09-04,228
2015-09-05,1334
2015-09-06,372
2015-09-07,160
2015-09-08,213
2015-09-09,123
2015-09-10,110
2015-09-11,77
2015-09-12,307
2015-09-13,212
2015-09-14,161
2015-09-15,110
2015-09-16,93
2015-09-17,524
2015-09-18,1087
2015-09-19,180
2015-09-20,192
2015-09-21,115
2015-09-22,93
2015-09-23,93
2015-09-24,67
2015-09-25,77
2015-09-26,98
2015-09-27,113
2015-09-28,122
2015-09-29,131
2015-09-30,166
2015-10-01,417
2015-10-02,230
2015-10-03,510
2015-10-04,2728
2015-10-05,279
2015-10-06,196
2015-10-07,167
2015-10-08,122
2015-10-09,128
2015-10-10,607
2015-10-11,278
2015-10-12,147
2015-10-13,120
2015-10-14,110
2015-10-15,85
2015-10-16,100
2015-10-17,147
2015-10-18,556
2015-10-19,133
2015-10-20,108
2015-10-21,122
2015-10-22,116
2015-10-23,98
2015-10-24,709
2015-10-25,299
2015-10-26,228
2015-10-27,156
2015-10-28,146
2015-10-29,110
2015-10-30,121
2015-10-31,1219
2015-11-01,724
2015-11-02,290
2015-11-03,252
2015-11-04,482
2015-11-05,361
2015-11-06,417
2015-11-07,2843
2015-11-08,1935
2015-11-09,535
2015-11-10,483
2015-11-11,454
2015-11-12,247
2015-11-13,224
2015-11-14,1437
2015-11-15,901
2015-11-16,346
2015-11-17,293
2015-11-18,320
2015-11-19,350
2015-11-20,308
2015-11-21,787
2015-11-22,762
2015-11-23,486
2015-11-24,363
2015-11-25,327
2015-11-26,332
2015-11-27,519
2015-11-28,4597
2015-11-29,1887
2015-11-30,809
2015-12-01,1214
2015-12-02,1014
2015-12-03,957
2015-12-04,637
2015-12-05,936
2015-12-06,16463
2015-12-07,2628
2015-12-08,4186
2015-12-09,1792
2015-12-10,1509
2015-12-11,3387
2015-12-12,4090
2015-12-13,13362
2015-12-14,1571
2015-12-15,959
2015-12-16,587
2015-12-17,561
2015-12-18,421
2015-12-19,546
2015-12-20,515
2015-12-21,486
2015-12-22,511
2015-12-23,462
2015-12-24,466
2015-12-25,344
2015-12-26,537
2015-12-27,583
2015-12-28,691
2015-12-29,1207
2015-12-30,1074
2015-12-31,12136
2016-01-01,13814
2016-01-02,3284
2016-01-03,1601
2016-01-04,1718
2016-01-05,1405
2016-01-06,1279
2016-01-07,1210
2016-01-08,1646
