Date,Page Views,Page Views (Log10),Quarterback
20160618,34,1.5314789170422551,Jackson
20160619,15,1.1760912590556813,Jackson
20160620,7,0.8450980400142568,Jackson
20160621,11,1.0413926851582251,Jackson
20160622,4,0.6020599913279624,Jackson
20160623,7,0.8450980400142568,Jackson
20160624,7,0.8450980400142568,Jackson
20160625,6,0.7781512503836436,Jackson
20160626,4,0.6020599913279624,Jackson
20160627,19,1.2787536009528289,Jackson
20160628,4,0.6020599913279624,Jackson
20160629,9,0.9542425094393249,Jackson
20160630,7,0.8450980400142568,Jackson
20160701,11,1.0413926851582251,Jackson
20160702,23,1.3617278360175928,Jackson
20160703,11,1.0413926851582251,Jackson
20160704,13,1.1139433523068367,Jackson
20160705,8,0.9030899869919435,Jackson
20160706,12,1.0791812460476249,Jackson
20160707,15,1.1760912590556813,Jackson
20160708,26,1.414973347970818,Jackson
20160709,14,1.146128035678238,Jackson
20160710,13,1.1139433523068367,Jackson
20160711,15,1.1760912590556813,Jackson
20160712,21,1.3222192947339193,Jackson
20160713,12,1.0791812460476249,Jackson
20160714,18,1.255272505103306,Jackson
20160715,16,1.2041199826559248,Jackson
20160716,15,1.1760912590556813,Jackson
20160717,8,0.9030899869919435,Jackson
20160718,11,1.0413926851582251,Jackson
20160719,18,1.255272505103306,Jackson
20160720,20,1.3010299956639813,Jackson
20160721,28,1.4471580313422192,Jackson
20160722,35,1.5440680443502757,Jackson
20160723,57,1.7558748556724915,Jackson
20160724,38,1.5797835966168101,Jackson
20160725,59,1.7708520116421442,Jackson
20160726,29,1.462397997898956,Jackson
20160727,38,1.5797835966168101,Jackson
20160728,12,1.0791812460476249,Jackson
20160729,34,1.5314789170422551,Jackson
20160730,20,1.3010299956639813,Jackson
20160731,20,1.3010299956639813,Jackson
20160801,34,1.5314789170422551,Jackson
20160802,17,1.2304489213782739,Jackson
20160803,21,1.3222192947339193,Jackson
20160804,22,1.3424226808222062,Jackson
20160805,16,1.2041199826559248,Jackson
20160806,21,1.3222192947339193,Jackson
20160807,22,1.3424226808222062,Jackson
20160808,37,1.568201724066995,Jackson
20160809,28,1.4471580313422192,Jackson
20160810,25,1.3979400086720377,Jackson
20160811,18,1.255272505103306,Jackson
20160812,28,1.4471580313422192,Jackson
20160813,33,1.5185139398778875,Jackson
20160814,19,1.2787536009528289,Jackson
20160815,29,1.462397997898956,Jackson
20160816,33,1.5185139398778875,Jackson
20160817,24,1.380211241711606,Jackson
20160818,18,1.255272505103306,Jackson
20160819,29,1.462397997898956,Jackson
20160820,28,1.4471580313422192,Jackson
20160821,30,1.4771212547196624,Jackson
20160822,39,1.591064607026499,Jackson
20160823,22,1.3424226808222062,Jackson
20160824,35,1.5440680443502757,Jackson
20160825,34,1.5314789170422551,Jackson
20160826,30,1.4771212547196624,Jackson
