Country,Total Expend %,Year
Afghanistan,0.141,2013
Albania,0.1212,2013
Andorra,0.0804,2013
Argentina,0.1446,2013
Armenia,0.1114,2013
Aruba,0.2187,2013
Australia,0.1404,2013
Austria,0.1074,2013
Azerbaijan,0.0646,2013
Bahrain,0.0722,2013
Bangladesh,0.1382,2013
Barbados,0.1484,2013
Belarus,0.1227,2013
Belgium,0.1189,2013
Belize,0.2224,2013
Benin,0.2234,2013
Bhutan,0.1617,2013
Bolivia,0.1628,2013
Brazil,0.1559,2013
Bulgaria,0.1144,2013
Burkina Faso,0.1617,2013
Burundi,0.1724,2013
Cabo Verde,0.1478,2013
Cambodia,0.096,2013
Cameroon,0.1382,2013
Chad,0.1246,2013
Chile,0.1965,2013
Colombia,0.1691,2013
Comoros,0.1607,2013
"Congo, Dem. Rep.",0.1627,2013
Costa Rica,0.2283,2013
Cote d'Ivoire,0.2157,2013
Croatia,0.0949,2013
Cyprus,0.1536,2013
Czech Republic,0.096,2013
Denmark,0.1522,2013
Ecuador,0.1144,2013
El Salvador,0.1556,2013
Estonia,0.1258,2013
Ethiopia,0.2702,2013
Fiji,0.143,2013
Finland,0.1245,2013
France,0.0961,2013
Gabon,0.0874,2013
"Gambia, The",0.1029,2013
Germany,0.1104,2013
Ghana,0.2122,2013
Guatemala,0.2064,2013
Guinea,0.1413,2013
Guinea-Bissau,0.1619,2013
Honduras,0.1986,2013
"Hong Kong SAR, China",0.203,2013
Hungary,0.0853,2013
Iceland,0.1767,2013
India,0.1405,2013
Indonesia,0.176,2013
"Iran, Islamic Rep.",0.2167,2013
Ireland,0.1321,2013
Israel,0.1459,2013
Italy,0.0816,2013
Jamaica,0.2057,2013
Japan,0.0931,2013
Kenya,0.1914,2013
Kyrgyz Republic,0.1777,2013
Lao PDR,0.1281,2013
Latvia,0.1874,2013
Lebanon,0.0858,2013
Liberia,0.0467,2013
Lithuania,0.1329,2013
"Macao SAR, China",0.1259,2013
Madagascar,0.1399,2013
Malawi,0.2042,2013
Malaysia,0.1945,2013
Maldives,0.1391,2013
Mali,0.1662,2013
Malta,0.1878,2013
Mauritania,0.1141,2013
Mauritius,0.1479,2013
Mexico,0.1691,2013
Monaco,0.0706,2013
Mongolia,0.1232,2013
Mozambique,0.1898,2013
Nepal,0.1757,2013
Netherlands,0.1209,2013
New Zealand,0.1655,2013
Niger,0.1808,2013
Norway,0.1727,2013
Oman,0.1108,2013
Pakistan,0.1151,2013
Peru,0.1522,2013
Poland,0.116,2013
Portugal,0.1057,2013
Qatar,0.1315,2013
Russian Federation,0.1086,2013
Rwanda,0.1686,2013
Sao Tome and Principe,0.1883,2013
Senegal,0.2574,2013
Seychelles,0.0955,2013
Sierra Leone,0.152,2013
Singapore,0.1996,2013
Slovak Republic,0.0986,2013
Slovenia,0.1,2013
South Africa,0.1917,2013
South Sudan,0.0323,2013
Spain,0.095,2013
Sri Lanka,0.0942,2013
St. Lucia,0.1385,2013
Sweden,0.1514,2013
Switzerland,0.1521,2013
Thailand,0.1913,2013
Timor-Leste,0.0589,2013
Togo,0.1659,2013
Uganda,0.1174,2013
Ukraine,0.1387,2013
United Kingdom,0.1292,2013
United States,0.1339,2013
Uzbekistan,0.2332,2013
Vietnam,0.1852,2013
Zimbabwe,0.2866,2013
