Date,Lamar Jackson
6/18/2016,34
6/19/2016,15
6/20/2016,7
6/21/2016,11
6/22/2016,4
6/23/2016,7
6/24/2016,7
6/25/2016,6
6/26/2016,4
6/27/2016,19
6/28/2016,4
6/29/2016,9
6/30/2016,7
7/1/2016,11
7/2/2016,23
7/3/2016,11
7/4/2016,13
7/5/2016,8
7/6/2016,12
7/7/2016,15
7/8/2016,26
7/9/2016,14
7/10/2016,13
7/11/2016,15
7/12/2016,21
7/13/2016,12
7/14/2016,18
7/15/2016,16
7/16/2016,15
7/17/2016,8
7/18/2016,11
7/19/2016,18
7/20/2016,20
7/21/2016,28
7/22/2016,35
7/23/2016,57
7/24/2016,38
7/25/2016,59
7/26/2016,29
7/27/2016,38
7/28/2016,12
7/29/2016,34
7/30/2016,20
7/31/2016,20
8/1/2016,34
8/2/2016,17
8/3/2016,21
8/4/2016,22
8/5/2016,16
8/6/2016,21
8/7/2016,22
8/8/2016,37
8/9/2016,28
8/10/2016,25
8/11/2016,18
8/12/2016,28
8/13/2016,33
8/14/2016,19
8/15/2016,29
8/16/2016,33
8/17/2016,24
8/18/2016,18
8/19/2016,29
8/20/2016,28
8/21/2016,30
8/22/2016,39
8/23/2016,22
8/24/2016,35
8/25/2016,34
8/26/2016,30
8/27/2016,31
8/28/2016,33
8/29/2016,24
8/30/2016,27
8/31/2016,52
9/1/2016,247
9/2/2016,2449
9/3/2016,455
9/4/2016,300
9/5/2016,176
9/6/2016,182
9/7/2016,223
9/8/2016,127
9/9/2016,202
9/10/2016,19957
9/11/2016,2680
9/12/2016,1833
9/13/2016,2564
9/14/2016,2242
9/15/2016,1750
9/16/2016,2365
9/17/2016,58508
9/18/2016,38851
9/19/2016,16132
9/20/2016,11237
9/21/2016,7527
9/22/2016,4596
9/23/2016,4679
9/24/2016,6028
9/25/2016,18874
9/26/2016,5492
9/27/2016,4469
9/28/2016,6630
9/29/2016,5292
9/30/2016,5436
10/1/2016,13255
10/2/2016,57068
10/3/2016,6695
10/4/2016,3601
10/5/2016,3000
10/6/2016,2022
10/7/2016,1670
10/8/2016,2173
10/9/2016,2158
10/10/2016,1433
10/11/2016,1365
10/12/2016,1170
10/13/2016,925
10/14/2016,1824
10/15/2016,6546
10/16/2016,2009
10/17/2016,1166
10/18/2016,1191
10/19/2016,1036
10/20/2016,815
10/21/2016,948
10/22/2016,11263
10/23/2016,6257
10/24/2016,2649
10/25/2016,1777
10/26/2016,1333
10/27/2016,962
10/28/2016,1069
10/29/2016,5923
10/30/2016,3495
10/31/2016,1464
11/1/2016,1624
11/2/2016,1183
11/3/2016,931
11/4/2016,881
11/5/2016,8644
11/6/2016,8677
11/7/2016,3003
11/8/2016,2074
11/9/2016,1258
11/10/2016,1362
11/11/2016,1540
11/12/2016,2576
11/13/2016,4575
11/14/2016,2203
11/15/2016,2355
11/16/2016,1993
11/17/2016,2110
11/18/2016,9367
11/19/2016,1865
11/20/2016,1829
11/21/2016,1337
11/22/2016,1209
11/23/2016,1159
11/24/2016,1271
11/25/2016,1522
11/26/2016,6357
11/27/2016,3820
11/28/2016,1765
11/29/2016,1407
11/30/2016,1472
12/1/2016,945
12/2/2016,950
12/3/2016,1643
12/4/2016,2288
12/5/2016,1431
12/6/2016,3669
12/7/2016,1988
12/8/2016,2467
12/9/2016,6393
12/10/2016,7680
12/11/2016,118741
12/12/2016,21494
12/13/2016,9988
12/14/2016,4983
12/15/2016,3097
12/16/2016,2583
12/17/2016,2668
12/18/2016,2517
12/19/2016,2588
12/20/2016,2133
12/21/2016,1578
12/22/2016,4399
12/23/2016,1672
12/24/2016,1843
12/25/2016,1718
12/26/2016,1681
12/27/2016,2091
12/28/2016,1829
12/29/2016,2269
12/30/2016,2531
12/31/2016,15495
1/1/2017,6588
1/2/2017,3184
1/3/2017,3789
1/4/2017,2723
1/5/2017,2158
1/6/2017,1433
1/7/2017,1718
1/8/2017,1909
1/9/2017,2087
1/10/2017,14275
1/11/2017,2738
1/12/2017,2193
1/13/2017,1194
1/14/2017,1205
1/15/2017,1408
1/16/2017,1211
1/17/2017,994
1/18/2017,845
1/19/2017,967
1/20/2017,790
1/21/2017,766
1/22/2017,925
1/23/2017,1048
1/24/2017,877
1/25/2017,924
1/26/2017,668
1/27/2017,672
1/28/2017,598
1/29/2017,648
1/30/2017,654
1/31/2017,545
2/1/2017,673
2/2/2017,720
2/3/2017,709
2/4/2017,740
2/5/2017,861
2/6/2017,1023
2/7/2017,851
2/8/2017,770
2/9/2017,1071
2/10/2017,764
2/11/2017,760
2/12/2017,728
2/13/2017,711
2/14/2017,569
2/15/2017,696
2/16/2017,755
2/17/2017,633
2/18/2017,612
2/19/2017,580
2/20/2017,602
2/21/2017,587
