Index,lat,long,County,Total Population,State
11992,29.81672287,-82.66062164,alachua,254218,florida
11993,29.81672287,-82.63770294,alachua,254218,florida
11994,29.84537125,-82.62051392,alachua,254218,florida
11995,29.85110283,-82.59759521,alachua,254218,florida
11996,29.8797493,-82.58040619,alachua,254218,florida
11997,29.91412544,-82.58040619,alachua,254218,florida
11998,29.9255867,-82.56894684,alachua,254218,florida
11999,29.9255867,-82.54029846,alachua,254218,florida
12000,29.93704414,-82.52310944,alachua,254218,florida
12001,29.91412544,-82.42570496,alachua,254218,florida
12002,29.87401772,-82.37414551,alachua,254218,florida
12003,29.86828995,-82.3454895,alachua,254218,florida
12004,29.83964157,-82.30538177,alachua,254218,florida
12005,29.83964157,-82.2824707,alachua,254218,florida
12006,29.83964157,-82.22517395,alachua,254218,florida
12007,29.82245255,-82.13922882,alachua,254218,florida
12008,29.82245255,-82.12203979,alachua,254218,florida
12009,29.74797058,-82.08766174,alachua,254218,florida
12010,29.7193203,-82.04756165,alachua,254218,florida
12011,29.47294998,-82.05329132,alachua,254218,florida
12012,29.47867966,-82.03609467,alachua,254218,florida
12013,29.49586868,-82.01890564,alachua,254218,florida
12014,29.4672184,-82.03036499,alachua,254218,florida
12015,29.45576096,-82.04756165,alachua,254218,florida
12016,29.4442997,-82.04756165,alachua,254218,florida
12017,29.43284225,-82.07620239,alachua,254218,florida
12018,29.421381,-82.08766174,alachua,254218,florida
12019,29.43284225,-82.10485077,alachua,254218,florida
12020,29.43284225,-82.12776947,alachua,254218,florida
12021,29.421381,-82.17360687,alachua,254218,florida
12022,29.421381,-82.19652557,alachua,254218,florida
12023,29.45003128,-82.2137146,alachua,254218,florida
12024,29.46148872,-82.20225525,alachua,254218,florida
12025,29.45576096,-82.1907959,alachua,254218,florida
12026,29.4672184,-82.1907959,alachua,254218,florida
12027,29.47867966,-82.2137146,alachua,254218,florida
12028,29.47867966,-82.40852356,alachua,254218,florida
12029,29.4901371,-82.56321716,alachua,254218,florida
12030,29.5359745,-82.56321716,alachua,254218,florida
12031,29.54743195,-82.66062164,alachua,254218,florida
12032,29.57035065,-82.66635132,alachua,254218,florida
12033,29.81672287,-82.66062164,alachua,254218,florida
12034,30.26362991,-82.04182434,baker,27135,florida
12035,30.17195702,-82.03609467,baker,27135,florida
12036,30.13758087,-82.04182434,baker,27135,florida
12037,30.13758087,-82.13349915,baker,27135,florida
12038,30.13758087,-82.46009064,baker,27135,florida
12039,30.57302666,-82.46009064,baker,27135,florida
12040,30.56156921,-82.2137146,baker,27135,florida
12041,30.53865051,-82.22517395,baker,27135,florida
12042,30.52719307,-82.24236298,baker,27135,florida
12043,30.51000404,-82.23090363,baker,27135,florida
12044,30.49281311,-82.2137146,baker,27135,florida
12045,30.46989441,-82.20798492,baker,27135,florida
12046,30.39541054,-82.20798492,baker,27135,florida
12047,30.37249184,-82.17933655,baker,27135,florida
12048,30.36103439,-82.16214752,baker,27135,florida
12049,30.36103439,-82.12203979,baker,27135,florida
12050,30.35530472,-82.08766174,baker,27135,florida
12051,30.36103439,-82.04756165,baker,27135,florida
12052,30.26362991,-82.04182434,baker,27135,florida
12053,30.21779442,-85.40509033,bay,175353,florida
12054,29.96569252,-85.41082001,bay,175353,florida
12055,29.9714241,-85.45092773,bay,175353,florida
12056,29.98288155,-85.48530579,bay,175353,florida
12057,29.9943428,-85.50822449,bay,175353,florida
12058,30.00580025,-85.52540588,bay,175353,florida
12059,30.03444862,-85.52540588,bay,175353,florida
12060,30.11466217,-85.68583679,bay,175353,florida
12061,30.1318512,-85.69156647,bay,175353,florida
12062,30.14330864,-85.69156647,bay,175353,florida
12063,30.14330864,-85.67438507,bay,175353,florida
12064,30.1318512,-85.63427734,bay,175353,florida
12065,30.07455635,-85.51967621,bay,175353,florida
12066,30.07455635,-85.50249481,bay,175353,florida
12067,30.08601379,-85.49676514,bay,175353,florida
12068,30.10320091,-85.51394653,bay,175353,florida
12069,30.14903831,-85.52540588,bay,175353,florida
12070,30.1547699,-85.54833221,bay,175353,florida
12071,30.1547699,-85.56551361,bay,175353,florida
12072,30.14330864,-85.59416199,bay,175353,florida
12073,30.14903831,-85.61708069,bay,175353,florida
12074,30.17195702,-85.65718842,bay,175353,florida
12075,30.17195702,-85.68010712,bay,175353,florida
12076,30.18341446,-85.70302582,bay,175353,florida
12077,30.21206474,-85.73167419,bay,175353,florida
12078,30.22925186,-85.70302582,bay,175353,florida
12079,30.25217056,-85.70302582,bay,175353,florida
12080,30.26362991,-85.68583679,bay,175353,florida
12081,30.27508926,-85.68583679,bay,175353,florida
12082,30.27508926,-85.69729614,bay,175353,florida
12083,30.26935959,-85.72021484,bay,175353,florida
12084,30.26935959,-85.73167419,bay,175353,florida
12085,30.28082085,-85.74313354,bay,175353,florida
12086,30.31519699,-85.7545929,bay,175353,florida
12087,30.32665443,-85.7775116,bay,175353,florida
12088,30.32665443,-85.80615997,bay,175353,florida
12089,30.30373955,-85.823349,bay,175353,florida
12090,30.29800797,-85.8462677,bay,175353,florida
12091,30.27508926,-85.8691864,bay,175353,florida
12092,30.25790215,-85.8691864,bay,175353,florida
12093,30.24644089,-85.85199738,bay,175353,florida
12094,30.24644089,-85.82907867,bay,175353,florida
12095,30.26935959,-85.8004303,bay,175353,florida
12096,30.26935959,-85.78324127,bay,175353,florida
12097,30.25217056,-85.78324127,bay,175353,florida
12098,30.24071312,-85.7775116,bay,175353,florida
12099,30.24071312,-85.7545929,bay,175353,florida
12100,30.22925186,-85.7545929,bay,175353,florida
12101,30.20633316,-85.7545929,bay,175353,florida
12102,30.1547699,-85.74886322,bay,175353,florida
12103,30.14903831,-85.7545929,bay,175353,florida
12104,30.1547699,-85.7775116,bay,175353,florida
12105,30.22352219,-85.87491608,bay,175353,florida
12106,30.26362991,-85.94940186,bay,175353,florida
12107,30.28654861,-85.98950958,bay,175353,florida
12108,30.40114212,-85.98950958,bay,175353,florida
12109,30.42406082,-85.96658325,bay,175353,florida
12110,30.42406082,-85.9379425,bay,175353,florida
12111,30.42406082,-85.9150238,bay,175353,florida
12112,30.43551826,-85.89783478,bay,175353,florida
12113,30.45270538,-85.87491608,bay,175353,florida
12114,30.45270538,-85.50822449,bay,175353,florida
